,Height_Distribution,Eye_Color_Distribution,Hair_Color_Distribution
160cm,1.0,,
161cm,1.0,,
162cm,1.0,,
163cm,1.0,,
165cm,3.0,,
166cm,17.0,,
167cm,1.0,,
168cm,2.0,,
169cm,1.0,,
170cm,10.0,,
171cm,5.0,,
172cm,8.0,,
173cm,9.0,,
174cm,8.0,,
175cm,9.0,,
176cm,3.0,,
177cm,4.0,,
178cm,11.0,,
179cm,1.0,,
180cm,8.0,,
181cm,2.0,,
182cm,5.0,,
183cm,2.0,,
184cm,1.0,,
185cm,3.0,,
186cm,1.0,,
188cm,3.0,,
190cm,1.0,,
191cm,2.0,,
192cm,1.0,,
193cm,1.0,,
5'10 (178cm),84.0,,
"5'10""",7.0,,
"5'10""
(177 cm)",61.0,,
5'11 (180cm),53.0,,
"5'11""",7.0,,
"5'11""
(180 cm)",51.0,,
"5'4""
(162 cm)",1.0,,
5'5 (165cm),9.0,,
"5'5""",2.0,,
"5'5""
(165 cm)",6.0,,
5'6 (168cm),8.0,,
"5'6""",3.0,,
"5'6""
(167 cm)",11.0,,
5'7 (170cm),24.0,,
"5'7""",2.0,,
"5'7""
(170 cm)",25.0,,
5'8 (173cm),48.0,,
"5'8""",6.0,,
"5'8""
(172 cm)",45.0,,
5'9 (175cm),73.0,,
"5'9""",6.0,,
"5'9""
(175 cm)",52.0,,
6' (183cm),56.0,,
"6'0""",11.0,,
"6'0""
(182 cm)",62.0,,
6'1 (185cm),30.0,,
"6'1""",9.0,,
"6'1""
(185 cm)",16.0,,
6'2 (188cm),30.0,,
"6'2""",4.0,,
"6'2""
(187 cm)",30.0,,
6'3 (191cm),6.0,,
"6'3""",5.0,,
"6'3""
(190 cm)",12.0,,
6'4 (193cm),8.0,,
"6'4""",4.0,,
"6'4""
(193 cm)",4.0,,
6'5 (196cm),2.0,,
"6'5""
(195 cm)",2.0,,
"6'6""",1.0,,
"6'6""
(198 cm)",1.0,,
"6'7""",1.0,,
<5'5 (163cm),1.0,,
>6'5 (0cm),3.0,,
"Auburn/
Straight",,,2.0
"Auburn/
Wavy",,,1.0
Black,,47.0,278.0
"Black/
Curly",,,41.0
"Black/
Straight",,,102.0
"Black/
Wavy",,,35.0
Blond,,,16.0
"Blond/
Curly",,,4.0
"Blond/
Straight",,,19.0
"Blond/
Wavy",,,7.0
Blue,,140.0,
Blue/Green,,2.0,
Brown,,630.0,80.0
"Brown/
Curly",,,18.0
"Brown/
Straight",,,87.0
"Brown/
Wavy",,,57.0
Brown/Black,,1.0,
Dark Blond,,,18.0
Dark Brown,,,124.0
Green,,44.0,
Green/Blue,,1.0,
Green/Grey,,1.0,
Grey,,4.0,
Grey/Green,,1.0,
Hazel,,69.0,
Light Blond,,,3.0
Light Brown,,,32.0
Red,,,3.0
Red Brown,,,3.0
"Red/
Curly",,,1.0
"Red/
Straight",,,3.0
"Red/
Wavy",,,2.0
Strawberry Blond,,,4.0
